business_id,name,cuisine,address,latitude,longitude,number_of_reviews,rating,inserted_at_time_stamp
NlmP5x_Ykznd55Dc85ChUg,Nittis,Italian,"'523 9th Ave New York, NY 10018'",40.7567,-73.99411,308,4.5,2023-02-26 00:31:37.133650
NAlOPUbFQVE0bUu8_wmBLQ,Rezdôra,Italian,"'27 E 20th St New York, NY 10003'",40.73901,-73.9891,573,4.0,2023-02-26 00:31:37.133660
5k_jwjhdFMPUNWhouGNzuA,Misi,Italian,"'329 Kent Ave Brooklyn, NY 11249'",40.71341,-73.96662,568,4.0,2023-02-26 00:31:37.133670
Rc1Ay4C2BgLBouuM92SAtQ,Ferdi,Italian,"'15 7th Ave S New York, NY 10014'",40.72995,-74.00449,24,5.0,2023-02-26 00:31:37.133679
5EQOEAkH2Qh3Rv1TcnE7yA,Fiaschetteria Pistoia,Italian,"'114 Christopher St New York, NY 10014'",40.73316,-74.00537,115,4.0,2023-02-26 00:31:37.133689
rpVX-o82EEOX8ZDnM28a_Q,Bistango,Italian,"'145 E 50th St The Kimberly Hotel New York, NY 10022'",40.75628,-73.97144,344,4.0,2023-02-26 00:31:37.133699
QObHX0yR6zd0WfksRDbJTA,Becco,Italian,"'355 W 46th St New York, NY 10036'",40.76083,-73.98981,3079,3.5,2023-02-26 00:31:37.133708
wzHyRI6iW0rIY8rMb3KClA,Felice,Italian,"'240 Columbus Ave New York, NY 10023'",40.77697,-73.97933,106,4.0,2023-02-26 00:31:37.133718
yZJbealagfujEkgesAl2hA,Lupa,Italian,"'170 Thompson St New York, NY 10012'",40.7276,-74.000045,1714,4.0,2023-02-26 00:31:37.133727
hzPBADaUBQEL30MGrvKsww,Il Tinello Ristorante Italiano,Italian,"'16 W 56th St New York, NY 10019'",40.76256,-73.97566,319,4.5,2023-02-26 00:31:37.133737
rFeNJtqgMWf2tWy-RB6jgg,Torrisi,Italian,"'275 Mulberry St New York, NY 10012'",40.7246154,-73.9952614,25,4.5,2023-02-26 00:31:37.133747
rZ9OFoSqy8u4WECfh--ylg,Marta,Italian,"'29 E 29th St New York, NY 10016'",40.7445882,-73.9847936,1000,4.0,2023-02-26 00:31:37.133757
